Global Volcanism Program - Volcanoes of the World 5.2.1,,,List of Volcanoes of the World for VAAC Use,,Downloaded on 16 Jul 2024 at 09:13 AM,,,,,,,,,,
VolcanoNumber,VolcanoNumber_Old,VolcanoName,State,VolcanicSubregion,SummitElevM,LatitudeNS,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeEW,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LatitudeDecimal,LongitudeDecimal
221102,0201-102,MALLAHLE,Ethiopia-Eritrea,Africa (northeastern) and Red Sea,1875,N,13,16,0,E,41,39,0,13.27,41.65
221103,0201-103,SORK ALE,Ethiopia-Eritrea,Africa (northeastern) and Red Sea,1611,N,13,11,0,E,41,43,30,13.18,41.725
221104,0201-104,ASAVYO,Ethiopia,Africa (northeastern) and Red Sea,1338,N,13,5,52,E,41,35,57,13.098,41.599
221105,0201-105,MAT ALA,Ethiopia,Africa (northeastern) and Red Sea,493,N,13,6,21,E,41,9,40,13.106,41.161
221106,0201-106,TAT ALI,Ethiopia,Africa (northeastern) and Red Sea,655,N,13,17,2,E,41,3,48,13.284,41.063
221107,0201-107,BORAWLI,Ethiopia,Africa (northeastern) and Red Sea,784,N,13,18,14,E,40,59,12,13.304,40.987
221110,0201-11=,AFDERA,Ethiopia,Africa (northeastern) and Red Sea,1250,N,13,5,17,E,40,51,12,13.088,40.853
221111,0201-111,MA ALALTA,Ethiopia,Africa (northeastern) and Red Sea,1745,N,13,0,45,E,40,11,4,13.013,40.185
221112,0201-112,ALAYTA,Ethiopia,Africa (northeastern) and Red Sea,1496,N,12,53,18,E,40,34,22,12.888,40.573
221113,0201-113,DABBAHU,Ethiopia,Africa (northeastern) and Red Sea,1401,N,12,35,40,E,40,28,47,12.595,40.48
221114,0201-114,DABBAYRA,Ethiopia,Africa (northeastern) and Red Sea,1302,N,12,23,0,E,40,4,0,12.38,40.07
221115,0201-115,MANDA HARARO,Ethiopia,Africa (northeastern) and Red Sea,600,N,12,10,0,E,40,49,0,12.17,40.82
